name,condition_select,category_id/id,rule_type,code,struct_id/id,sequence,active,appears_on_payslip,condition_python,amount_select,amount_python_compute,payslip_imprime_opt,rubrique_certificat,payslip_rubrique,id
Participation cotisations allocations familiales,python,d4e_ch_payroll_data.DED_1,section,R5027,d4e_ch_payroll_data.Standard_structure,5027,TRUE,TRUE,"number_month_cacule = str( payslip.date_from)[5:7]
if number_month_cacule[0]=='0':
  number_month=number_month_cacule[1]
else:
  number_month = number_month_cacule
if number_month in dict_cotisation['avs_contribution'] :
  result = 1
else : 
  result = 0
",code,"result = -AVS_SALAIRE
result_rate = payslip.rule_parameter('taux_allocfam_employe')",tj_imprime,9 Cotisations AVS/AI/APG/AC/AANP,Charges Sociales,21
Participation cotisations allocations familiales - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5027_PP,d4e_ch_payroll_data.Standard_structure,5027,TRUE,TRUE,"number_month_cacule = str( payslip.date_from)[5:7]
if number_month_cacule[0]=='0':
  number_month=number_month_cacule[1]
else:
  number_month = number_month_cacule
if number_month in dict_cotisation['avs_contribution'] :
  result = 1
else : 
  result = 0",code,"result = -AVS_SALAIRE
result_rate = payslip.rule_parameter('taux_allocfam_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,22
Assurance accident A1 - Assuré AANP et AAP avec déduction AANP,python,d4e_ch_payroll_data.DED_1,section,R5032,d4e_ch_payroll_data.Standard_structure,5032,TRUE,TRUE,result = contract.laa_contribution == 'A1 - AAP and AANP insured - with AANP deductions',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_a1_employe')",tj_imprime,9 Cotisations AVS/AI/APG/AC/AANP,Charges Sociales,23
Assurance accident A1 - AAP - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5032_PP,d4e_ch_payroll_data.Standard_structure,5032,TRUE,TRUE,result = contract.laa_contribution == 'A1 - AAP and AANP insured - with AANP deductions',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_a1_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,35
Assurance accident A2 - Assuré AANP et AAP sans déduction AANP - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5033_PP,d4e_ch_payroll_data.Standard_structure,5033,TRUE,TRUE,result = contract.laa_contribution == 'A2 - AAP and AANP insured - without AANP deduction',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_a2_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,26
Assurance accident A3 - Assuré AAP uniquement - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5034_PP,d4e_ch_payroll_data.Standard_structure,5034,TRUE,TRUE,result = contract.laa_contribution == 'A3 - AAP insured only - without AANP deduction',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_a3_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,27
Assurance accident B1 - Assuré AANP et AAP avec déduction AANP,python,d4e_ch_payroll_data.DED_1,section,R5036,d4e_ch_payroll_data.Standard_structure,5036,TRUE,TRUE,result = contract.laa_contribution == 'B1 - AAP and AANP insured - with AANP deductions',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_b1_employe')",tj_imprime,9 Cotisations AVS/AI/APG/AC/AANP,Charges Sociales,28
Assurance accident B1 - AAP - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5036_PP,d4e_ch_payroll_data.Standard_structure,5036,TRUE,TRUE,result = contract.laa_contribution == 'B1 - AAP and AANP insured - with AANP deductions',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_b1_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,36
Assurance accident B2 - Assuré AANP et AAP sans déduction AANP - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5037_PP,d4e_ch_payroll_data.Standard_structure,5037,TRUE,TRUE,result = contract.laa_contribution == 'B2 - AAP and AANP insured - without AANP deduction',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_b2_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,29
Assurance accident B3 - Assuré AAP seulement - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5038_PP,d4e_ch_payroll_data.Standard_structure,5038,TRUE,TRUE,result = contract.laa_contribution == 'B3 - AAP insured only - without AANP deduction',code,"result = -LAA_BASE
result_rate = payslip.rule_parameter('taux_laa_b3_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,30
Cotisation IJM,python,d4e_ch_payroll_data.DED_1,section,R5050,d4e_ch_payroll_data.Standard_structure,5050,TRUE,TRUE,"number_month_cacule = str( payslip.date_from)[5:7]
if number_month_cacule[0]=='0':
  number_month=number_month_cacule[1]
else:
  number_month = number_month_cacule
if number_month in dict_cotisation['ijm_contribution'] :
  result = 1
else : 
  result = 0",code,"
if  (employee.gender == 'female')  :
    result = -IJM_BASE
    result_rate = payslip.rule_parameter('taux_ijm_f_employe')
elif (employee.gender == 'male')  :
    result = -IJM_BASE
    result_rate = payslip.rule_parameter('taux_ijm_m_employe')
else :
    result = 0
    result_rate = 0
",tj_imprime,9 Cotisations AVS/AI/APG/AC/AANP,Charges Sociales,31
Cotisation IJM - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5050_PP,d4e_ch_payroll_data.Standard_structure,5050,TRUE,TRUE,"number_month_cacule = str( payslip.date_from)[5:7]
if number_month_cacule[0]=='0':
  number_month=number_month_cacule[1]
else:
  number_month = number_month_cacule
if number_month in dict_cotisation['ijm_contribution'] :
  result = 1
else : 
  result = 0",code,"
if  (employee.gender == 'female')  :
    result = -IJM_BASE
    result_rate = payslip.rule_parameter('taux_ijm_f_employeur')
elif (employee.gender == 'male')  :
    result = -IJM_BASE
    result_rate = payslip.rule_parameter('taux_ijm_m_employeur')
else :
    result = 0
    result_rate = 0
",tj_imprime,Aucune rubrique,Charges Sociales,34
Cotisation LPP fixe,python,d4e_ch_payroll_data.DED_1,section,R5054,d4e_ch_payroll_data.Standard_structure,5054,TRUE,TRUE,result = contract.lpp_fixe != 0,code,"result = -contract.lpp_fixe
",tj_imprime,10.1 Prévoyance professionnelle (cotisations ordinaires),Charges Sociales,37
Cotisation LPP fixe - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5054_PP,d4e_ch_payroll_data.Standard_structure,5054,TRUE,TRUE,result = contract.lpp_fixe_pp != 0,code,result = contract.lpp_fixe_pp,tj_imprime,Aucune rubrique,Charges Sociales,38
Cotisation LPP coordonnée,python,d4e_ch_payroll_data.DED_1,section,R5055,d4e_ch_payroll_data.Standard_structure,5055,TRUE,TRUE,"number_month_cacule = str( payslip.date_from)[5:7]
if number_month_cacule[0]=='0':
  number_month=number_month_cacule[1]
else:
  number_month = number_month_cacule
if number_month in dict_cotisation['lpp_contribution'] :
  result = 1
else : 
  result = 0",code,"result = -LPP_BASE+ payslip.rule_parameter('montant_lpp_coordination')
result_rate = payslip.rule_parameter('taux_lppc_25_employe')",tj_imprime,10.1 Prévoyance professionnelle (cotisations ordinaires),Charges Sociales,39
Cotisation LPP coordonnée - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5055_PP,d4e_ch_payroll_data.Standard_structure,5055,TRUE,TRUE,"number_month_cacule = str( payslip.date_from)[5:7]
if number_month_cacule[0]=='0':
  number_month=number_month_cacule[1]
else:
  number_month = number_month_cacule
if number_month in dict_cotisation['lpp_contribution'] :
  result = 1
else : 
  result = 0",code,"result = -LPP_BASE+ payslip.rule_parameter('montant_lpp_coordination')
result_rate = payslip.rule_parameter('taux_lppc_25_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,40
Cotisation LPP - Plan A,python,d4e_ch_payroll_data.DED_1,section,R5056,d4e_ch_payroll_data.Standard_structure,5056,TRUE,TRUE,result = contract.lpp_code.code == 'A',code,"result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_a_employe')",tj_imprime,10.1 Prévoyance professionnelle (cotisations ordinaires),Charges Sociales,41
Cotisation LPP - Plan A - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5056_PP,d4e_ch_payroll_data.Standard_structure,5056,TRUE,TRUE,result = contract.lpp_code.code == 'A',code,"	result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_a_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,42
Cotisation LPP - Plan B,python,d4e_ch_payroll_data.DED_1,section,R5057,d4e_ch_payroll_data.Standard_structure,5057,TRUE,TRUE,result = contract.lpp_code.code == 'B',code,"result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_b_employe')",tj_imprime,10.1 Prévoyance professionnelle (cotisations ordinaires),Charges Sociales,43
Cotisation LPP - Plan B - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5057_PP,d4e_ch_payroll_data.Standard_structure,5057,TRUE,TRUE,result = contract.lpp_code.code == 'B',code,"result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_b_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,44
Cotisation LPP - Plan C,python,d4e_ch_payroll_data.DED_1,section,R5058,d4e_ch_payroll_data.Standard_structure,5058,TRUE,TRUE,result = contract.lpp_code.code == 'C',code,"result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_c_employe')",tj_imprime,10.1 Prévoyance professionnelle (cotisations ordinaires),Charges Sociales,45
Cotisation LPP - Plan C - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5058_PP,d4e_ch_payroll_data.Standard_structure,5058,TRUE,TRUE,result = contract.lpp_code.code == 'C',code,"result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_c_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,46
Cotisation LPP - Plan D,python,d4e_ch_payroll_data.DED_1,section,R5059,d4e_ch_payroll_data.Standard_structure,5059,TRUE,TRUE,result = contract.lpp_code.code == 'D',code,"result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_d_employe')",tj_imprime,10.1 Prévoyance professionnelle (cotisations ordinaires),Charges Sociales,47
Cotisation LPP - Plan D - PP,python,d4e_ch_payroll_data.COMP_1,Headings - Employer share,R5059_PP,d4e_ch_payroll_data.Standard_structure,5059,TRUE,TRUE,result = contract.lpp_code.code == 'D',code,"result = -LPP_BASE
result_rate = payslip.rule_parameter('taux_lpp_d_employeur')",tj_imprime,Aucune rubrique,Charges Sociales,48
Retenue Impôt à la source,python,d4e_ch_payroll_data.DED_1,section,R5060,d4e_ch_payroll_data.Standard_structure,5060,TRUE,TRUE,result = contract.tax_source == 'submitted_without_scale',code,"result = -IS_SALAIRE
result_rate = contract.tax_rate * 100",tj_imprime,"12 Retenue de l""impôt à la source",Charges Sociales,102
Retenue Impôt à la source - Tabelle,python,d4e_ch_payroll_data.DED_1,section,R5061,d4e_ch_payroll_data.Standard_structure,5061,TRUE,TRUE,"result = contract.tax_source == 'submitted_with_scale'
",code,"result =-IS_BASE
if contract.canton:
  canton = contract.canton.upper()
if contract.tabelle:
  tabelle = contract.tabelle
if contract.church_tax == 'true':
  church_tax = 'Y'
else:
  church_tax = 'N'
valeur_prec = 0
result_2 = 0
i=0
for element in tax_base:
  if(( i==0 )and(tax_base[element]['perception_scale']== tabelle ) and (tax_base[element]['canton']==canton) and (tax_base[element]['impot ecclésiastique']==church_tax) and (tax_base[element]['revenue'] > abs(result) )):
    result_2 = tax_base[element]['impot']
    break
  else:
    if ((tax_base[element]['perception_scale']== tabelle ) and (tax_base[element]['canton']==canton) and (tax_base[element]['impot ecclésiastique']==church_tax) and (tax_base[element]['revenue'] >  abs(result) )):
      result_2 = valeur_prec
      break
    else :
     valeur_prec =tax_base[element]['impot']
     i+=1
result_rate = result_2
",tj_imprime,"12 Retenue de l""impôt à la source",Charges Sociales,129
Correction Impôt à la source,none,d4e_ch_payroll_data.DED_1,section,R5062,d4e_ch_payroll_data.Standard_structure,5062,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A5061: 
	for element in inputs.A5061:
		result += element.amount",none_zero_imprime,"12 Retenue de l""impôt à la source",Charges Sociales,131
Retenue Part privée voiture de service,none,d4e_ch_payroll_data.FREE_1,section,R5090,d4e_ch_payroll_data.Standard_structure,5090,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = -contract.private_share_service_car,tj_imprime,Aucune rubrique,Divers,116
Frais de voyage,none,d4e_ch_payroll_data.FREE_1,section,R6000,d4e_ch_payroll_data.Standard_structure,6000,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A6000: 
	for element in inputs.A6000:
		result += element.amount",none_zero_imprime,"13.1.1 Frais effectifs (voyage, repas, nuitées)",Divers,103
Frais de voiture,none,d4e_ch_payroll_data.FREE_1,section,R6001,d4e_ch_payroll_data.Standard_structure,6001,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A6001: 
	for element in inputs.A6001:
		result += element.amount",none_zero_imprime,"13.1.1 Frais effectifs (voyage, repas, nuitées)",Divers,104
Frais de repas,none,d4e_ch_payroll_data.FREE_1,section,R6002,d4e_ch_payroll_data.Standard_structure,6002,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = payslip.rule_parameter('frais_repas') if inputs.A6002 else 0 
result_qty = inputs.A6002.amount if inputs.A6002 else 0",none_zero_imprime,"13.1.1 Frais effectifs (voyage, repas, nuitées)",Divers,105
Frais de repas effectifs,none,d4e_ch_payroll_data.FREE_1,section,R6003,d4e_ch_payroll_data.Standard_structure,6003,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A6003: 
	for element in inputs.A6003:
		result += element.amount",none_zero_imprime,"13.1.1 Frais effectifs (voyage, repas, nuitées)",Divers,276
Frais de déplacement KM,none,d4e_ch_payroll_data.FREE_1,section,R6005,d4e_ch_payroll_data.Standard_structure,6005,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = payslip.rule_parameter('frais_km') if inputs.A6005 else 0 
result_qty = inputs.A6005.amount if inputs.A6005 else 0",none_zero_imprime,"13.1.1 Frais effectifs (voyage, repas, nuitées)",Divers,285
Frais de nuitées,none,d4e_ch_payroll_data.FREE_1,section,R6010,d4e_ch_payroll_data.Standard_structure,6010,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A6010: 
	for element in inputs.A6010:
		result += element.amount",none_zero_imprime,"13.1.1 Frais effectifs (voyage, repas, nuitées)",Divers,106
Frais effectifs,none,d4e_ch_payroll_data.FREE_1,section,R6020,d4e_ch_payroll_data.Standard_structure,6020,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A6020: 
	for element in inputs.A6020:
		result += element.amount",none_zero_imprime,13.1.2 Frais effectifs (autres),Divers,107
Autres frais effectifs,none,d4e_ch_payroll_data.FREE_1,section,R6030,d4e_ch_payroll_data.Standard_structure,6030,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A6030: 
	for element in inputs.A6030:
		result += element.amount",none_zero_imprime,13.1.2 Frais effectifs (autres),Divers,108
Frais forfaitaire de représentation,none,d4e_ch_payroll_data.FREE_1,section,R6040,d4e_ch_payroll_data.Standard_structure,6040,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = contract.lump_sum_representation_costs,none_zero_imprime,13.2.1 Frais forfaitaires (représentation),Divers,109
Frais forfaitaire de voiture,none,d4e_ch_payroll_data.FREE_1,section,R6050,d4e_ch_payroll_data.Standard_structure,6050,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = contract.Car_flat_fee,none_zero_imprime,13.2.2 Frais forfaitaires (voiture) ,Divers,110
Frais forfaitaire pour expatriés,none,d4e_ch_payroll_data.FREE_1,section,R6060,d4e_ch_payroll_data.Standard_structure,6060,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = contract.Flat_rate_for_expatriates,none_zero_imprime,2.3 Prestations salariales accessoires (autres),Divers,111
Autres frais forfaitaires,none,d4e_ch_payroll_data.FREE_1,section,R6070,d4e_ch_payroll_data.Standard_structure,6070,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = contract.Other_flat_rate_costs,none_zero_imprime,13.2.3 Fris forfaitaires (autres),Divers,112
Corrections diverses,none,d4e_ch_payroll_data.FREE_1,section,R6090,d4e_ch_payroll_data.Standard_structure,6090,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"result = 0
if inputs.A6050: 
	for element in inputs.A6050:
		result += element.amount",none_zero_imprime,Aucune rubrique,Divers,286
Retenue pour loyer,none,d4e_ch_payroll_data.FREE_1,section,R6100,d4e_ch_payroll_data.Standard_structure,6100,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = -contract.rent_deduction,none_zero_imprime,13.2.3 Fris forfaitaires (autres),Divers,125
Retenue pour office des poursuites,none,d4e_ch_payroll_data.FREE_1,section,R6101,d4e_ch_payroll_data.Standard_structure,6101,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = -contract.withholding_prosecution_office,none_zero_imprime,13.2.3 Fris forfaitaires (autres),Divers,126
Divers 1,none,d4e_ch_payroll_data.FREE_1,section,R6110,d4e_ch_payroll_data.Standard_structure,6110,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = contract.various1,none_zero_imprime,13.2.3 Fris forfaitaires (autres),Divers,127
Divers 2,none,d4e_ch_payroll_data.FREE_1,section,R6111,d4e_ch_payroll_data.Standard_structure,6111,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = contract.various2,none_zero_imprime,13.2.3 Fris forfaitaires (autres),Divers,128
Nombre de fiche de salaire,none,d4e_ch_payroll_data.REPORT_1,storage data,001,d4e_ch_payroll_data.mensuel_structure,1,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,result = employee.hr_payslip_number,tj_imprime,Aucune rubrique,,404
Cumul AVS,none,d4e_ch_payroll_data.REPORT_1,calculation basis,002,d4e_ch_payroll_data.mensuel_structure,2,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('AVS_BASE'):
  for m in table_calcul_base['AVS_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['AVS_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,405
Cumul AC,none,d4e_ch_payroll_data.REPORT_1,calculation basis,003,d4e_ch_payroll_data.mensuel_structure,3,TRUE,TRUE,"
# Available variables:
#----------------------
# payslip: object containing the payslips
# employee: hr.employee object
# contract: hr.contract object
# rules: object containing the rules code (previously computed)
# categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
# worked_days: object containing the computed worked days
# inputs: object containing the computed inputs.

# Note: returned value have to be set in the variable 'result'

result = rules.NET > categories.NET * 0.10",code,"number_month_cacule = str( payslip.date_from)[5:7]
result=0
if number_month_cacule == '01':
            month_cacule= 'january'
elif number_month_cacule == '02':
            month_cacule= 'february'
elif number_month_cacule == '03':
            month_cacule= 'march'
elif number_month_cacule == '04':
            month_cacule= 'avril'
elif number_month_cacule == '05':
            month_cacule= 'may'
elif number_month_cacule == '06':
           month_cacule= 'june'
elif number_month_cacule == '07':
            month_cacule= 'july'
elif number_month_cacule == '08':
            month_cacule= 'august'
elif number_month_cacule == '09':
            month_cacule= 'september'
elif number_month_cacule == '10':
            month_cacule= 'october'
elif number_month_cacule == '11':
            month_cacule= 'november'
elif number_month_cacule == '12':
            month_cacule= 'december'

if table_calcul_base.get('AC_BASE'):
  for m in table_calcul_base['AC_BASE']:
	  if m != month_cacule:
		  result +=float(table_calcul_base['AC_BASE'][m])
	  else: break",tj_imprime,Aucune rubrique,,413
